# GENERATED by scripts/generate_dow_cells.py -- DO NOT EDIT.
# design_seed=20260710; defining_relation=I=ABCDE; systems=dynamo_disagg,triton,vllm
# Factor E (burstiness) convention: E=-1 arrival_mode=poisson; E=+1 bursty burst_factor=4.0; E=0 bursty burst_factor=2.5.
# Rows are in schedule order (schedule_position 1..57 = the linear execution order).
schedule_position,system,cell_id,kind,yates_index,A_code,B_code,C_code,D_code,E_code,rate_fraction,prompt_len,max_tokens,prefix_repeat_fraction,shared_prefix_len,arrival_mode,burst_factor,burst_on_seconds,duration_s,warmup_discard_s,calibration_file
14,triton,dow_triton_p11,design,11,-1,1,-1,1,1,0.3,6000,64,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p11.json
15,vllm,dow_vllm_p15,design,15,-1,1,1,1,-1,0.3,6000,1024,0.8,512,poisson,,,129600,3600,state/calibration/dow_vllm_p15.json
16,dynamo_disagg,dow_dynamo_disagg_p11,design,11,-1,1,-1,1,1,0.3,6000,64,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p11.json
17,triton,dow_triton_p05,design,5,-1,-1,1,-1,-1,0.3,512,1024,0.0,0,poisson,,,129600,3600,state/calibration/dow_triton_p05.json
18,vllm,dow_vllm_p07,design,7,-1,1,1,-1,1,0.3,6000,1024,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p07.json
19,dynamo_disagg,dow_dynamo_disagg_p01,design,1,-1,-1,-1,-1,1,0.3,512,64,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p01.json
20,triton,dow_triton_p01,design,1,-1,-1,-1,-1,1,0.3,512,64,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p01.json
21,vllm,dow_vllm_p03,design,3,-1,1,-1,-1,-1,0.3,6000,64,0.0,0,poisson,,,129600,3600,state/calibration/dow_vllm_p03.json
22,dynamo_disagg,dow_dynamo_disagg_p14,design,14,1,-1,1,1,-1,0.85,512,1024,0.8,512,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p14.json
23,triton,dow_triton_p13,design,13,-1,-1,1,1,1,0.3,512,1024,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p13.json
24,vllm,dow_vllm_p09,design,9,-1,-1,-1,1,-1,0.3,512,64,0.8,512,poisson,,,129600,3600,state/calibration/dow_vllm_p09.json
25,dynamo_disagg,dow_dynamo_disagg_p13,design,13,-1,-1,1,1,1,0.3,512,1024,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p13.json
26,triton,dow_triton_p03,design,3,-1,1,-1,-1,-1,0.3,6000,64,0.0,0,poisson,,,129600,3600,state/calibration/dow_triton_p03.json
27,vllm,dow_vllm_p08,design,8,1,1,1,-1,-1,0.85,6000,1024,0.0,0,poisson,,,129600,3600,state/calibration/dow_vllm_p08.json
28,dynamo_disagg,dow_dynamo_disagg_cp2,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,172800,3600,state/calibration/dow_dynamo_disagg_cp2.json
29,triton,dow_triton_cp2,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,129600,3600,state/calibration/dow_triton_cp2.json
30,vllm,dow_vllm_cp2,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,129600,3600,state/calibration/dow_vllm_cp2.json
31,dynamo_disagg,dow_dynamo_disagg_p06,design,6,1,-1,1,-1,1,0.85,512,1024,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p06.json
32,triton,dow_triton_p07,design,7,-1,1,1,-1,1,0.3,6000,1024,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p07.json
33,vllm,dow_vllm_p01,design,1,-1,-1,-1,-1,1,0.3,512,64,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p01.json
34,dynamo_disagg,dow_dynamo_disagg_p02,design,2,1,-1,-1,-1,-1,0.85,512,64,0.0,0,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p02.json
35,triton,dow_triton_p06,design,6,1,-1,1,-1,1,0.85,512,1024,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p06.json
36,vllm,dow_vllm_p04,design,4,1,1,-1,-1,1,0.85,6000,64,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p04.json
37,dynamo_disagg,dow_dynamo_disagg_p03,design,3,-1,1,-1,-1,-1,0.3,6000,64,0.0,0,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p03.json
38,triton,dow_triton_p14,design,14,1,-1,1,1,-1,0.85,512,1024,0.8,512,poisson,,,129600,3600,state/calibration/dow_triton_p14.json
39,vllm,dow_vllm_p02,design,2,1,-1,-1,-1,-1,0.85,512,64,0.0,0,poisson,,,129600,3600,state/calibration/dow_vllm_p02.json
40,dynamo_disagg,dow_dynamo_disagg_p04,design,4,1,1,-1,-1,1,0.85,6000,64,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p04.json
41,triton,dow_triton_p08,design,8,1,1,1,-1,-1,0.85,6000,1024,0.0,0,poisson,,,129600,3600,state/calibration/dow_triton_p08.json
42,vllm,dow_vllm_p16,design,16,1,1,1,1,1,0.85,6000,1024,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p16.json
43,dynamo_disagg,dow_dynamo_disagg_p07,design,7,-1,1,1,-1,1,0.3,6000,1024,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p07.json
44,triton,dow_triton_p04,design,4,1,1,-1,-1,1,0.85,6000,64,0.0,0,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p04.json
45,vllm,dow_vllm_p05,design,5,-1,-1,1,-1,-1,0.3,512,1024,0.0,0,poisson,,,129600,3600,state/calibration/dow_vllm_p05.json
46,dynamo_disagg,dow_dynamo_disagg_p16,design,16,1,1,1,1,1,0.85,6000,1024,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_dynamo_disagg_p16.json
47,triton,dow_triton_p10,design,10,1,-1,-1,1,1,0.85,512,64,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_triton_p10.json
48,vllm,dow_vllm_p13,design,13,-1,-1,1,1,1,0.3,512,1024,0.8,512,bursty,4.0,5.0,129600,3600,state/calibration/dow_vllm_p13.json
49,dynamo_disagg,dow_dynamo_disagg_p09,design,9,-1,-1,-1,1,-1,0.3,512,64,0.8,512,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p09.json
50,triton,dow_triton_p09,design,9,-1,-1,-1,1,-1,0.3,512,64,0.8,512,poisson,,,129600,3600,state/calibration/dow_triton_p09.json
51,vllm,dow_vllm_p12,design,12,1,1,-1,1,-1,0.85,6000,64,0.8,512,poisson,,,129600,3600,state/calibration/dow_vllm_p12.json
52,dynamo_disagg,dow_dynamo_disagg_p05,design,5,-1,-1,1,-1,-1,0.3,512,1024,0.0,0,poisson,,,129600,3600,state/calibration/dow_dynamo_disagg_p05.json
53,triton,dow_triton_p12,design,12,1,1,-1,1,-1,0.85,6000,64,0.8,512,poisson,,,129600,3600,state/calibration/dow_triton_p12.json
54,vllm,dow_vllm_p14,design,14,1,-1,1,1,-1,0.85,512,1024,0.8,512,poisson,,,129600,3600,state/calibration/dow_vllm_p14.json
55,dynamo_disagg,dow_dynamo_disagg_cp3,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,172800,3600,state/calibration/dow_dynamo_disagg_cp3.json
56,triton,dow_triton_cp3,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,129600,3600,state/calibration/dow_triton_cp3.json
57,vllm,dow_vllm_cp3,center,,0,0,0,0,0,0.575,3256,544,0.4,512,bursty,2.5,5.0,129600,3600,state/calibration/dow_vllm_cp3.json
